Date,Reference,Supplier,Description,Net Amount,VAT,Gross Amount,Nominal Code
2026-01-31,STOCK-202601,Various,Stock Purchase - January 2026,599.49,0.00,599.49,5000
2026-01-31,FEES-202601,Various,Selling Fees - January 2026,802.46,0.00,802.46,7502
2026-01-31,POSTAGE-202601,Various,Packing & Postage - January 2026,1027.99,0.00,1027.99,7503
2026-01-31,MILEAGE-202601,HMRC,Travel - Motor - January 2026,123.30,0.00,123.30,7300
2026-01-31,HOME-202601,HMRC,Use of Home - January 2026,67.33,0.00,67.33,7008
2026-01-31,SOFTWARE-202601,Various,Software & IT - January 2026,129.16,0.00,129.16,7600
2026-01-31,OTHER-202601,Various,Sundry Expenses - January 2026,56.92,0.00,56.92,7901
2026-02-28,STOCK-202602,Various,Stock Purchase - February 2026,2970.35,0.00,2970.35,5000
2026-02-28,FEES-202602,Various,Selling Fees - February 2026,690.29,0.00,690.29,7502
2026-02-28,POSTAGE-202602,Various,Packing & Postage - February 2026,467.04,0.00,467.04,7503
2026-02-28,MILEAGE-202602,HMRC,Travel - Motor - February 2026,119.70,0.00,119.70,7300
2026-02-28,HOME-202602,HMRC,Use of Home - February 2026,67.33,0.00,67.33,7008
2026-02-28,SOFTWARE-202602,Various,Software & IT - February 2026,260.41,0.00,260.41,7600
2026-02-28,OTHER-202602,Various,Sundry Expenses - February 2026,56.62,0.00,56.62,7901
2026-03-31,STOCK-202603,Various,Stock Purchase - March 2026,1880.65,0.00,1880.65,5000
2026-03-31,FEES-202603,Various,Selling Fees - March 2026,1302.15,0.00,1302.15,7502
2026-03-31,POSTAGE-202603,Various,Packing & Postage - March 2026,410.11,0.00,410.11,7503
2026-03-31,HOME-202603,HMRC,Use of Home - March 2026,67.33,0.00,67.33,7008
2026-03-31,SOFTWARE-202603,Various,Software & IT - March 2026,178.34,0.00,178.34,7600
2026-03-31,OTHER-202603,Various,Sundry Expenses - March 2026,366.60,0.00,366.60,7901
