bricqer_item_id,bricklink_id,name,condition_notes,bricqer_price,ebay_avg_sold_price,ebay_min_sold_price,ebay_max_sold_price,ebay_sold_count,ebay_active_count,ebay_sell_through_rate,ebay_avg_shipping,ebay_research_date,meets_threshold,recommended_price,best_offer_auto_accept,best_offer_auto_decline,ebay_sku,ebay_listing_id,ebay_listing_url,listing_status,ebay_title,created_at,updated_at
3848,gen002,Ghost with 1 x 2 Plate and 1 x 2 Brick as Legs,,11.41,,,,,,,,,true,12.41,11.79,9.31,,,,NOT_LISTED,,2026-02-20T15:22:29.092821+00:00,2026-02-20T16:13:05.707+00:00
12144,coldnd02,"Gith Warlock, Dungeons & Dragons (Minifigure Only without Stand and Accessories)",,3.02,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:32.252333+00:00,2026-02-20T16:11:15.16+00:00
25703,col066,"Gladiator, Series 5 (Minifigure Only without Stand and Accessories)",,5.18,,,,,,,,,true,6.18,5.87,4.64,,,,NOT_LISTED,,2026-02-20T14:58:13.515739+00:00,2026-02-20T16:12:55.071+00:00
23846,elf028,"Goblin, Beiblin (6178680)",,3.4,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:23:37.574282+00:00,2026-02-20T16:13:20.248+00:00
8652,lor031,Gollum - Narrow Eyes,,8.47,,,,,,,,,true,9.47,9,7.1,,,,NOT_LISTED,,2026-02-20T15:22:29.54186+00:00,2026-02-20T16:11:13.993+00:00
12267,col048,"Gorilla Suit Guy, Series 3 (Minifigure Only without Stand and Accessories)",,4.82,,,,,,,,,true,7.15,6.79,5.36,,,,NOT_LISTED,,2026-02-20T15:22:46.93978+00:00,2026-02-20T16:12:00.596+00:00
8422,col112,"Grandma Visitor, Series 7 (Minifigure Only without Stand and Accessories)",,3.76,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:25.99457+00:00,2026-02-20T16:12:35.671+00:00
25570,sw0898,Greedo (with Belt on Torso),,6,,,,,,,,,true,8.87,8.43,6.65,,,,NOT_LISTED,,2026-02-20T14:58:11.590312+00:00,2026-02-20T16:12:49.293+00:00
17885,njo0116,Griffin Turner,,16,,,,,,,,,true,18.27,17.36,13.7,,,,NOT_LISTED,,2026-02-20T15:22:25.567264+00:00,2026-02-20T16:11:22.08+00:00
25561,sw0771,"Han Solo, Dark Blue Legs, Vest with Pockets, Wavy Hair",,3.73,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:11.272887+00:00,2026-02-20T16:12:47.86+00:00
18312,sh0024,Harley Quinn - Black and Red Hands,,5.7,,,,,,,,,true,6.7,6.37,5.03,,,,NOT_LISTED,,2026-02-20T15:23:25.290839+00:00,2026-02-20T16:13:46.163+00:00
3817,sp018,Ice Planet - Male,,3.99,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:40.326685+00:00,2026-02-20T16:12:19.029+00:00
10566,col244,"Ice Queen, Series 16 (Minifigure Only without Stand and Accessories)",,4.49,,,,,,,,,true,5.49,5.22,4.12,,,,NOT_LISTED,,2026-02-20T15:22:28.403972+00:00,2026-02-20T16:11:26.686+00:00
25554,sw0914,"Imperial Patrol Trooper - Male, Light Nougat Head, Scowl",,5.33,,,,,,,,,true,6.33,6.01,4.75,,,,NOT_LISTED,,2026-02-20T14:58:10.713087+00:00,2026-02-20T16:12:45.145+00:00
25562,sw0913,Imperial Recruitment Officer (Chief / Navy Captain),,6.77,,,,,,,,,true,7.77,7.38,5.83,,,,NOT_LISTED,,2026-02-20T14:58:11.45254+00:00,2026-02-20T16:12:48.556+00:00
25585,sw1116,"Imperial Scout Trooper - Male, Dual Molded Helmet, Light Nougat Head, Cheek Lines",,4.47,,,,,,,,,true,5.47,5.2,4.1,,,,NOT_LISTED,,2026-02-20T14:58:12.397817+00:00,2026-02-20T16:12:52.003+00:00
9115,sw0505,Imperial Scout Trooper - Printed Black Head and Legs,,3.43,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:57:55.706574+00:00,2026-02-20T16:11:11.184+00:00
9649,sw0603,Imperial Shadow Stormtrooper,,3.21,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:24.227265+00:00,2026-02-20T16:11:21.533+00:00
3806,pi061,Imperial Soldier,,6.26,,,,,,,,,true,7.26,6.9,5.45,,,,NOT_LISTED,,2026-02-20T15:22:41.468885+00:00,2026-02-20T16:11:56.69+00:00
6173,sw0036b,"Imperial Stormtrooper - Black Head, Solid Mouth Helmet",,3.82,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:26.729009+00:00,2026-02-20T16:13:04.465+00:00
11730,sw1137,"Imperial Stormtrooper - Male, Dual Molded Helmet with Light Bluish Gray Panels on Back, Light Nougat Head, Frown",,3.79,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:57:53.679017+00:00,2026-02-20T16:11:38.285+00:00
9725,sw0617,"Imperial Stormtrooper - Printed Legs, Dark Azure Helmet Vents, Frown",,3.24,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:24.897763+00:00,2026-02-20T16:13:17.391+00:00
9724,sw0617,"Imperial Stormtrooper - Printed Legs, Dark Azure Helmet Vents, Frown",,3.24,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:26.133246+00:00,2026-02-20T16:11:56.125+00:00
