ID,Storage,Lego ID,Description,Condition,Qty,Price,Total Value
25158,"U-309-7",15407,"Minifigure Hand Armor",Used,1,0.07,0.07
15519,"N-C12",99563,"Minifigure, Utensil Ingot / Bar",New,1,0.06,0.06
10242,"N-C25",22391,"Wedge 4 x 4 Pointed",New,1,0.06,0.06
8187,"U-BIO-E",98564,"Projectile Launcher Part, Hero Factory Zamor Sphere Launcher - Bottom Half with Axle Hole 1 x 7",Used,2,0.03,0.06
7663,"U-BIO-N",90640,"Hero Factory Armor with Ball Joint Socket - Size 4",Used,1,0.06,0.06
7661,"U-BIOA-9",90640,"Hero Factory Armor with Ball Joint Socket - Size 4",Used,1,0.06,0.06
7669,"U-D2-4",90640,"Hero Factory Armor with Ball Joint Socket - Size 4",Used,1,0.06,0.06
7672,"U-D2-4",90640,"Hero Factory Armor with Ball Joint Socket - Size 4",Used,1,0.06,0.06
23405,"U-308-14",98139,"Minifigure, Weapon Sai",Used,1,0.05,0.05
22236,"U-308-6",98139,"Minifigure, Weapon Sai",Used,1,0.05,0.05
22360,"U-308-8",98139,"Minifigure, Weapon Sai",Used,1,0.05,0.05
14865,"U-BIO-OS1",90652,"Large Figure Torso Armor with 2 Chest Holes",Used,1,0.05,0.05
15105,"U-BIO-S",90652,"Large Figure Torso Armor with 2 Chest Holes",Used,1,0.05,0.05
7745,"U-BIOA-5",92217,"Hero Factory Weapon, Half Claw",Used,1,0.05,0.05
7743,"U-D2-3",92217,"Hero Factory Weapon, Half Claw",Used,1,0.05,0.05
16432,"U-D2-3",90652,"Large Figure Torso Armor with 2 Chest Holes",Used,1,0.05,0.05
7744,"U-D2-4",92217,"Hero Factory Weapon, Half Claw",Used,1,0.05,0.05
16435,"U-D2-4",90652,"Large Figure Torso Armor with 2 Chest Holes",Used,1,0.05,0.05
13122,"U-D2-4",61800,"Bionicle Wing Small / Tail with Axle Hole",Used,1,0.04,0.04
13110,"U-O2",61800,"Bionicle Wing Small / Tail with Axle Hole",Used,1,0.04,0.04
8185,"U-D7-7",98564,"Projectile Launcher Part, Hero Factory Zamor Sphere Launcher - Bottom Half with Axle Hole 1 x 7",Used,1,0.03,0.03
