ID,Storage,Lego ID,Description,Condition,Qty,Price,Total Value
16455,"U-O7",93247,"Minifigure, Weapon Sword, Khopesh (Sickle Sword)",Used,1,0.75,0.75
9120,"U-H7",13792pb01,"Minifigure, Headgear Helmet Welding with Dark Blue Stripes on Black Visor Pattern",Used,1,0.73,0.73
9119,"U-L20",13792pb01,"Minifigure, Headgear Helmet Welding with Dark Blue Stripes on Black Visor Pattern",Used,1,0.73,0.73
18638,"N-C35",970c00pb1633,"Hips and Legs with Red Belt, Dark Purple Loincloth with Trim, Metallic Pink Blades and Toe Armor Pattern",New,1,0.72,0.72
13484,"U-A18-1",41890,"Arm Mechanical, Super Battle Droid - Solid Elbow Joint",Used,2,0.36,0.72
13486,"U-A19-2",41890,"Arm Mechanical, Super Battle Droid - Solid Elbow Joint",Used,2,0.36,0.72
12259,"U-J28",41890,"Arm Mechanical, Super Battle Droid - Solid Elbow Joint",Used,2,0.36,0.72
10472,"U-J17",23983,"Minifigure Armor Shoulder Pad with Scabbard for 2 Katanas",Used,1,0.71,0.71
18145,"U-P6",23983,"Minifigure Armor Shoulder Pad with Scabbard for 2 Katanas",Used,1,0.71,0.71
9462,"U-BIO-S",15366,"Large Figure Torso Armor with Connector for Chi Orb (Bionicle Zamor Sphere)",Used,1,0.66,0.66
18066,"U-P5",25110,"Minifigure Armor Breastplate with Snakes on Collar and Belt, Chain Mail, Shoulder Pads with Snake Heads and 1 Stud on Back",Used,1,0.66,0.66
13821,"U-B45",98593,"Hero Factory Shoulder Armor, Sonic Speaker",Used,1,0.64,0.64
13850,"U-BIO-K",98593,"Hero Factory Shoulder Armor, Sonic Speaker",Used,1,0.64,0.64
24968,"U-309-3",41162,"Minifigure Armor Shoulder Pad with Debossed Throwing Star / Shuriken and Scabbard for 1 Katana",Used,1,0.61,0.61
25027,"U-309-4",41162,"Minifigure Armor Shoulder Pad with Debossed Throwing Star / Shuriken and Scabbard for 1 Katana",Used,1,0.61,0.61
6167,"U-L18",58247,"Minifigure, Weapon Gun, Blaster SW Standard",Used,3,0.20,0.60
10104,"U-302-9",3626pb1424,"Minifigure, Head Alien with Black Mask, Silver Goggles, and Mouth Grate Pattern",Used,1,0.60,0.60
10105,"U-A7-2",3626pb1424,"Minifigure, Head Alien with Black Mask, Silver Goggles, and Mouth Grate Pattern",Used,1,0.60,0.60
15936,"U-BIO-F",98571,"Hero Factory Shoulder Armor, Rounded",Used,2,0.30,0.60
10103,"U-M5",3626pb1424,"Minifigure, Head Alien with Black Mask, Silver Goggles, and Mouth Grate Pattern",Used,1,0.60,0.60
18139,"U-P6",24484pb02,"Minifigure, Headgear Helmet Ninjago with Cheek Protection and Molded Trans-Orange Snake Heads Pattern",Used,1,0.60,0.60
11841,"U-L11",78331,"Minifigure, Headgear Helmet Rectangular, Full Face (Minecraft)",Used,1,0.58,0.58
9378,"U-A12-2",15475pb01,"Minifigure, Headgear Mask Scorpion with White Fangs and Pincers, Silver Spikes and Scorpion Emblem Pattern",Used,1,0.56,0.56
7656,"U-BIOB-11",90640,"Hero Factory Armor with Ball Joint Socket - Size 4",Used,9,0.06,0.54
10740,"U-O2",25276pb01,"Minifigure, Weapon Axe Head with Snake and Trans-Red Curved Blade Pattern",Used,1,0.54,0.54
18421,"U-P11",25276pb01,"Minifigure, Weapon Axe Head with Snake and Trans-Red Curved Blade Pattern",Used,1,0.54,0.54
22984,"U-BIO-AA-4",98569pb10,"Hero Factory Full Torso Armor with Gold Technical Gear Pattern (Bulk)",Used,1,0.52,0.52
7629,"U-BIO-H",90641,"Hero Factory Armor with Ball Joint Socket - Size 3",Used,4,0.13,0.52
8564,"U-BIOA-14 U-BIOB-14",98597,"Hero Factory Foot, Large with 2 Toes",Used,2,0.25,0.50
9638,"N-C29",18654,"Technic, Liftarm Thick 1 x 1 (Spacer)",New,8,0.06,0.48
7682,"U-BIO-O",90639,"Hero Factory Armor with Ball Joint Socket - Size 5",Used,8,0.06,0.48
14986,"U-BIO-O",90650,"Hero Factory Shoulder Armor",Used,6,0.08,0.48
22726,"U-D16-3",95347,"Support 2 x 2 x 10 Girder Triangular Vertical - Type 4 - 3 Posts, 3 Sections",Used,2,0.24,0.48
5885,"U-E19",53454,"Minifigure, Weapon Axe Head with Clip",Used,4,0.12,0.48
14552,"U-303-10",970c00,"Hips  and Legs Plain",Used,1,0.47,0.47
25064,"U-309-5",970c00,"Hips  and Legs Plain",Used,1,0.47,0.47
12708,"U-A21-1",970c00,"Hips  and Legs Plain",Used,1,0.47,0.47
7986,"U-BIO-D",92231,"Hero Factory Mask, Robotic Dog (Fangz)",Used,1,0.47,0.47
7987,"U-BIO-T",92231,"Hero Factory Mask, Robotic Dog (Fangz)",Used,1,0.47,0.47
16651,"U-A15-2",13952,"Minifigure, Weapon Gun Laser Kryptonian",Used,1,0.46,0.46
16122,"U-J27",13952,"Minifigure, Weapon Gun Laser Kryptonian",Used,1,0.46,0.46
10728,"U-A7-2",24586,"Minifigure, Headgear Helmet Ninjago with Cheek Protection and 2 Snakes wth Fangs",Used,1,0.44,0.44
10727,"U-N20",24586,"Minifigure, Headgear Helmet Ninjago with Cheek Protection and 2 Snakes wth Fangs",Used,1,0.44,0.44
17865,"U-P3",24586,"Minifigure, Headgear Helmet Ninjago with Cheek Protection and 2 Snakes wth Fangs",Used,1,0.44,0.44
18058,"U-P5",24586,"Minifigure, Headgear Helmet Ninjago with Cheek Protection and 2 Snakes wth Fangs",Used,1,0.44,0.44
23015,"U-BIO-AA-6",53551,"Bionicle Chain Link Section",Used,1,0.40,0.40
12439,"U-J18",64567,"Minifigure, Weapon Lightsaber Hilt Straight",Used,5,0.08,0.40
22981,"U-BIO-AA-3",98580,"Hero Factory Mask, Half (Splitface)",Used,1,0.38,0.38
13730,"U-J21",41890,"Arm Mechanical, Super Battle Droid - Solid Elbow Joint",Used,1,0.36,0.36
10319,"U-L1-1",23861,"Minifigure, Weapon Blade with Bars and 5 Spikes",Used,4,0.09,0.36
13000,"U-L18",41890,"Arm Mechanical, Super Battle Droid - Solid Elbow Joint",Used,1,0.36,0.36
18270,"U-P10",23984,"Minifigure, Weapon Sword, Cutlass Serrated with Skull Hand Guard",Used,3,0.12,0.36
18386,"U-P11",53454,"Minifigure, Weapon Axe Head with Clip",Used,3,0.12,0.36
